note_key,like_user_id,like_username,like_user_urlname,liked_at,follower_count
n5714bd945a01,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,2026-04-05T09:02:16.000+09:00,436
n5714bd945a01,11699261,中野英仁,hidehito_n,2026-04-05T07:25:15.000+09:00,2405
n5714bd945a01,3712022,いのふみ｜遅咲きのコピーライター,togaly0317,2026-04-05T07:18:03.000+09:00,156
n5714bd945a01,3608968,KITAcore｜キタコレ＠ログプレイヤー,ktcrs1107,2026-04-05T07:02:07.000+09:00,1030
n5714bd945a01,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,2026-04-05T06:31:17.000+09:00,287
n5714bd945a01,13827393,Soul Mama World,seamarine,2026-04-05T06:19:02.000+09:00,402
n770449983798,7396526,うさてつ,yoshidachana,2026-04-05T13:30:36.000+09:00,4
n770449983798,12229510,ささお,sasao_66,2026-04-05T12:17:48.000+09:00,785
n770449983798,12235051,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,2026-04-05T08:13:19.000+09:00,359
n770449983798,12197172,緑どんぐり,green_donguri,2026-04-05T05:23:26.000+09:00,1157
n770449983798,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-05T02:03:47.000+09:00,452
n770449983798,11699261,中野英仁,hidehito_n,2026-04-04T20:33:18.000+09:00,2405
n637880ce8b6f,7396526,うさてつ,yoshidachana,2026-04-05T13:29:45.000+09:00,4
n637880ce8b6f,6312735,ピナクル,modern_holly38,2026-04-04T10:03:07.000+09:00,350
n637880ce8b6f,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-04T08:52:41.000+09:00,452
n637880ce8b6f,11699261,中野英仁,hidehito_n,2026-04-04T07:00:12.000+09:00,2405
naa15a74da95b,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-05T02:04:02.000+09:00,452
naa15a74da95b,12983172,masaya,10colorful,2026-04-04T14:09:43.000+09:00,1098
naa15a74da95b,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,2026-04-04T09:00:19.000+09:00,436
naa15a74da95b,6312735,ピナクル,modern_holly38,2026-04-04T07:56:49.000+09:00,350
naa15a74da95b,11699261,中野英仁,hidehito_n,2026-04-04T07:00:14.000+09:00,2405
naa15a74da95b,11742994,薄紫もと　,fresh_loris1944,2026-04-04T06:13:42.000+09:00,2895
nc994f01ec487,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-05T02:04:09.000+09:00,452
nc994f01ec487,12235137,ねんころ@AIクリエイター,nenkoro_life,2026-04-04T09:21:35.000+09:00,1199
nc994f01ec487,6312735,ピナクル,modern_holly38,2026-04-04T01:31:22.000+09:00,350
nc994f01ec487,11699261,中野英仁,hidehito_n,2026-04-03T20:43:01.000+09:00,2405
n45c125906df4,6312735,ピナクル,modern_holly38,2026-04-03T17:45:50.000+09:00,350
n45c125906df4,12196744,空想の宝石紀行,mistoria_jw,2026-04-03T11:56:39.000+09:00,66
n45c125906df4,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-03T11:48:53.000+09:00,452
n45c125906df4,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,2026-04-03T08:31:20.000+09:00,436
n45c125906df4,11699261,中野英仁,hidehito_n,2026-04-03T07:44:19.000+09:00,2405
n45c125906df4,12235051,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,2026-04-03T07:41:43.000+09:00,359
ncc16280ba773,12235137,ねんころ@AIクリエイター,nenkoro_life,2026-04-03T16:37:37.000+09:00,1199
ncc16280ba773,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-03T11:48:02.000+09:00,452
ncc16280ba773,11699261,中野英仁,hidehito_n,2026-04-03T07:45:52.000+09:00,2405
ncc16280ba773,13455319,やさしい命の風,genial_jaguar976,2026-04-03T04:08:23.000+09:00,1079
ncc16280ba773,6312735,ピナクル,modern_holly38,2026-04-02T22:41:15.000+09:00,350
ncc16280ba773,12235051,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,2026-04-02T22:25:45.000+09:00,359
ncc16280ba773,10318591,ランラン日記,famous_swift6442,2026-04-02T21:25:27.000+09:00,558
ncc16280ba773,11850733,Mariya,mariya_1225,2026-04-02T21:24:56.000+09:00,1009
ncc16280ba773,13793195,ふくろう先生｜お金の神様の教えを伝えるnote講師,rosy_clam4908,2026-04-02T21:14:18.000+09:00,2129
ncc16280ba773,13252983,まったん@noteで月10万稼ぐ64歳！,gifted_fish1640,2026-04-02T21:12:17.000+09:00,4753
n444b49ae1706,13794260,楽天の審美眼｜失敗しないQOLログ,shinbigan_log,2026-04-07T08:30:26.000+09:00,758
n444b49ae1706,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,2026-04-04T06:06:05.000+09:00,287
n444b49ae1706,12232616,デジさしみ | IT現場の効率家,digital_sashimi,2026-04-04T04:34:31.000+09:00,463
n444b49ae1706,1905984,せーたのビジネス奮闘記,seitajap,2026-04-03T20:40:15.000+09:00,3930
n444b49ae1706,12235137,ねんころ@AIクリエイター,nenkoro_life,2026-04-03T16:43:33.000+09:00,1199
n444b49ae1706,10621369,そっとねこ,sottoneko,2026-04-03T11:54:33.000+09:00,360
n444b49ae1706,3608968,KITAcore｜キタコレ＠ログプレイヤー,ktcrs1107,2026-04-03T08:27:06.000+09:00,1030
n444b49ae1706,12235051,青井透子｜日常の過剰解釈屋　,crisp_chimp0823,2026-04-03T07:27:45.000+09:00,359
n444b49ae1706,13455319,やさしい命の風,genial_jaguar976,2026-04-03T04:08:24.000+09:00,1079
n444b49ae1706,13137374,宇宙珍獣🦄🌬️ユル勇者あかね,lovely_rose3365,2026-04-02T23:36:38.000+09:00,758
n444b49ae1706,11850733,Mariya,mariya_1225,2026-04-02T21:25:47.000+09:00,1009
n444b49ae1706,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-02T21:09:51.000+09:00,452
n1af6019e5d91,7747868,七神守護占,hummer941,2026-04-04T07:41:23.000+09:00,143
n1af6019e5d91,12196744,空想の宝石紀行,mistoria_jw,2026-04-03T13:10:17.000+09:00,66
n1af6019e5d91,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-02T19:39:40.000+09:00,452
n1af6019e5d91,6312735,ピナクル,modern_holly38,2026-04-02T19:06:09.000+09:00,350
n1af6019e5d91,12197172,緑どんぐり,green_donguri,2026-04-02T15:04:03.000+09:00,1157
n1af6019e5d91,8386686,夏目 龍頭｜AI Creative Lab,shio_batapopcorn,2026-04-02T13:21:54.000+09:00,2897
n1af6019e5d91,4115676,かなりあ,kanaria_2003,2026-04-02T12:24:08.000+09:00,1756
n1af6019e5d91,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,2026-04-02T12:23:50.000+09:00,436
n1af6019e5d91,11699261,中野英仁,hidehito_n,2026-04-02T12:06:40.000+09:00,2405
n0303e18f6727,7580255,Kinu_AIイラスト,kinu885,2026-04-03T18:31:28.000+09:00,1361
n0303e18f6727,10607522,かっぱの庵,leal_oriole8107,2026-04-02T19:43:50.000+09:00,189
n0303e18f6727,12235137,ねんころ@AIクリエイター,nenkoro_life,2026-04-02T19:04:28.000+09:00,1199
n0303e18f6727,2490558,だんだんありがと@めじゅ,dandan_arigato19,2026-04-02T17:43:56.000+09:00,185
n0303e18f6727,6312735,ピナクル,modern_holly38,2026-04-02T12:11:26.000+09:00,350
n0303e18f6727,12536893,一般社団法人笑顔の架け橋,egao0369,2026-04-02T11:21:05.000+09:00,81
n0303e18f6727,9520107,ことさきく｜成瀬由紀雄の日英文章・翻訳教室,naruseyukio,2026-04-02T11:15:44.000+09:00,704
n0303e18f6727,12983962,NO(フォロバ100、ただ……ただ……仲間を探す人),like_borage8182,2026-04-02T09:46:08.000+09:00,1369
n0303e18f6727,12498736,ことのは👁‍🗨知識収集家,kotonoha_bridge,2026-04-02T07:47:36.000+09:00,436
n0303e18f6727,11699261,中野英仁,hidehito_n,2026-04-02T07:08:05.000+09:00,2405
n0303e18f6727,12197172,緑どんぐり,green_donguri,2026-04-02T06:33:05.000+09:00,1157
n0303e18f6727,4829087,ＫｉーＡＩ（きあい📷🌷🌻）,kiaiphoto,2026-04-02T06:29:51.000+09:00,366
n0303e18f6727,4887086,はんく・シュンタナ🐤『塩化ビニール系女子』AIクリエイター兼プロデューサー,hunk_shuntana,2026-04-02T06:19:13.000+09:00,452
n0303e18f6727,11742994,薄紫もと　,fresh_loris1944,2026-04-02T06:15:23.000+09:00,2895
n0303e18f6727,10332488,ななな（菜奈）｜もやもや減らし屋👀♡🗣️よはくの哲学（ナラティヴ×構造×意味）,alive_prawn4206,2026-04-02T06:05:13.000+09:00,287
n9b318793761d,8347655,栞（しおり）,laugh_cat117,2026-04-06T10:23:34.000+09:00,176
n9b318793761d,13278970,AIちゃん@ゼロから始めるAIイラスト収益化,ai_labo_chan,2026-04-04T08:18:28.000+09:00,556
n9b318793761d,12229510,ささお,sasao_66,2026-04-03T19:55:15.000+09:00,785
n9b318793761d,11905841,顔のない問い,sasoib_ehtal,2026-04-03T08:43:13.000+09:00,640
n9b318793761d,9886074,AI画像生成チャンネル,jazzy_clam3058,2026-04-02T02:12:24.000+09:00,36
